"","nombre_promocional","longitud","latitud","enlace_web","Tipo","geometry","corpse_category"
"184","Aeropuerto Don Quijote","-3.970919","38.862409","http://www.nacionrotonda.com/2014/11/aeropuerto-don-quijote-villar-del-campo.html",,,"Desenterrados"
"185","Bell-lloc","0.785721","41.639923","http://www.nacionrotonda.com/2014/11/bel-lloc-lleida.html",,,"Desenterrados"
"186","Canyada del Moliner","-0.389448","39.602605","http://www.nacionrotonda.com/2014/11/canyada-del-moliner-valencia.html",,,"Desenterrados"
"187","El Reino de Don Quijote","-3.906881","39.047086","http://www.nacionrotonda.com/2014/11/el-reino-de-don-quijote-ciudad-real.html",,,"Desenterrados"
"188","El Rubín (Oviedo)","-5.817194","43.381084","http://www.nacionrotonda.com/2014/11/el-rubin-oviedo-norte-asturias.html",,,"Desenterrados"
"189","Golf Bahía","-0.178842","38.54743","http://www.nacionrotonda.com/2014/11/golf-bahia-alicante.html",,,"Desenterrados"
"190","Gran Casino Aranjuez","-3.600636","40.060437","http://www.nacionrotonda.com/2014/11/gran-casino-aranjuez-madrid.html",,,"Desenterrados"
"191","Lagarteira","-9.188865","42.976325","http://www.nacionrotonda.com/2014/11/lagarteira-coruna.html",,,"Desenterrados"
"192","Las Higuerillas","-1.640145","38.382132","http://www.nacionrotonda.com/2014/11/las-higuerillas-albacete.html",,,"Desenterrados"
"193","Las Indias","-17.873949","28.503226","http://www.nacionrotonda.com/2014/11/las-indias-la-palma-santa-cruz-de.html",,,"Desenterrados"
"194","Llanos del Peral","-2.024021","37.384235","http://www.nacionrotonda.com/2014/11/llanos-del-peral-almeria.html",,,"Desenterrados"
"195","Mairena del Aljarafe","-6.068938","37.342845","http://www.nacionrotonda.com/2014/11/mairena-del-aljarafe-oeste-sevilla.html",,,"Desenterrados"
"196","Olvera","-5.249528","36.933011","http://www.nacionrotonda.com/2014/11/olvera-cadiz.html",,,"Desenterrados"
"197","Outeiro de Rei","-7.599096","43.110112","http://www.nacionrotonda.com/2014/11/outeiro-de-rei-lugo.html",,,"Desenterrados"
"198","Parque Acuático Jaén","-3.828419","37.79058","http://www.nacionrotonda.com/2014/11/parque-acuatico-jaen-jaen.html",,,"Desenterrados"
"199","Playa","-0.260872","39.607273","http://www.nacionrotonda.com/2014/11/playa-valencia.html",,,"Desenterrados"
"200","Rivas-Vaciamadrid (Norte)","-3.535823","40.380372","http://www.nacionrotonda.com/2014/11/rivas-vaciamadrid-norte-madrid.html",,,"Desenterrados"
"201","Sotés","-2.597929","42.406164","http://www.nacionrotonda.com/2014/11/sotes-la-rioja.html",,,"Desenterrados"
"202","Tudela (norte)","-1.637237","42.073443","http://www.nacionrotonda.com/2014/11/tudela-norte-navarra.html",,,"Desenterrados"
"203","Valdepeñas","-3.411419","38.761213","http://www.nacionrotonda.com/2014/11/valdepenas-ciudad-real.html",,,"Desenterrados"
"204","Villanueva de la Serena","-5.782484","38.979682","http://www.nacionrotonda.com/2014/11/villanueva-de-la-serena-badajoz.html",,,"Desenterrados"
"205","Vinalesa","-0.36899","39.538822","http://www.nacionrotonda.com/2014/11/vinalesa-valencia.html",,,"Desenterrados"
"206","Albacete (oeste)","-1.877483","39.006615","http://www.nacionrotonda.com/2014/12/albacete-oeste-albacete.html",,,"Desenterrados"
"207","Alcobendas (oeste)","-3.662049","40.531412","http://www.nacionrotonda.com/2014/12/alcobendas-oeste-madrid.html",,,"Desenterrados"
